"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"PUT","/services/7/features/12",64,0,26,28,4,83,0,0.19,0.00,27,29,33,36,48,53,56,83,83,83,83,83
"PUT","/services/7/features/13",63,0,26,27,2,55,0,0.19,0.00,26,32,35,35,44,45,51,55,55,55,55,55
"PUT","/services/7/features/14",63,0,24,28,9,104,0,0.19,0.00,24,30,32,35,44,47,68,100,100,100,100,100
"PUT","/services/7/features/15",63,0,24,29,4,83,0,0.19,0.00,24,39,40,40,44,48,61,83,83,83,83,83
"PUT","/services/7/features/16",63,0,27,31,7,83,0,0.19,0.00,27,36,40,43,51,70,78,83,83,83,83,83
"PUT","/services/7/features/17",63,0,26,27,9,92,0,0.19,0.00,26,29,32,34,38,47,58,92,92,92,92,92
"PUT","/services/7/features/4",65,0,26,30,7,107,0,0.20,0.00,26,32,39,40,46,60,68,110,110,110,110,110
"PUT","/services/7/features/9",65,0,27,29,10,53,0,0.20,0.00,27,31,36,39,43,51,52,53,53,53,53,53
"PUT","/services/8/features/10",63,0,28,31,4,140,0,0.19,0.00,28,34,37,39,45,62,90,140,140,140,140,140
"PUT","/services/8/features/11",63,0,29,33,10,88,0,0.19,0.00,29,35,39,41,58,65,71,88,88,88,88,88
"PUT","/services/8/features/12",63,0,26,28,5,59,0,0.19,0.00,26,32,36,39,45,52,55,59,59,59,59,59
"PUT","/services/8/features/13",63,0,27,31,5,103,0,0.19,0.00,27,33,39,42,49,59,70,100,100,100,100,100
"PUT","/services/8/features/14",63,0,27,28,5,132,0,0.19,0.00,27,31,33,37,47,54,76,130,130,130,130,130
"PUT","/services/8/features/15",63,0,27,32,8,146,0,0.19,0.00,27,30,38,43,56,69,80,150,150,150,150,150
"PUT","/services/8/features/16",63,0,26,31,3,108,0,0.19,0.00,26,34,39,39,52,63,86,110,110,110,110,110
"PUT","/services/8/features/17",63,0,29,32,7,70,0,0.19,0.00,29,38,41,45,52,60,67,70,70,70,70,70
"PUT","/services/8/features/4",63,0,27,30,12,85,0,0.19,0.00,27,31,36,37,45,55,75,85,85,85,85,85
"PUT","/services/8/features/9",63,0,28,32,3,97,0,0.19,0.00,28,32,36,42,54,84,91,97,97,97,97,97
"PUT","/services/9/features/10",63,0,28,31,5,88,0,0.19,0.00,28,37,42,45,50,57,78,88,88,88,88,88
"PUT","/services/9/features/11",63,0,27,31,7,146,0,0.19,0.00,27,31,37,42,46,55,65,150,150,150,150,150
"PUT","/services/9/features/12",62,0,24,31,6,137,0,0.19,0.00,25,35,43,46,57,61,62,140,140,140,140,140
"PUT","/services/9/features/13",62,0,25,29,5,167,0,0.19,0.00,25,29,33,37,44,49,53,170,170,170,170,170
"PUT","/services/9/features/14",62,0,22,27,5,84,0,0.19,0.00,22,30,35,39,48,49,59,84,84,84,84,84
"PUT","/services/9/features/15",62,0,26,28,6,75,0,0.19,0.00,27,33,34,36,42,47,64,75,75,75,75,75
"PUT","/services/9/features/16",62,0,26,30,6,89,0,0.19,0.00,26,33,37,39,47,63,82,89,89,89,89,89
"PUT","/services/9/features/17",62,0,26,30,9,80,0,0.19,0.00,26,30,38,41,47,54,69,80,80,80,80,80
"PUT","/services/9/features/4",63,0,28,33,7,133,0,0.19,0.00,28,35,42,47,66,67,82,130,130,130,130,130
"PUT","/services/9/features/9",63,0,28,33,5,131,0,0.19,0.00,28,36,43,49,57,82,93,130,130,130,130,130
"POST","/sourceItems",2875,0,80,86,13,450,2,8.69,0.00,80,97,110,120,140,160,190,230,430,450,450,450
"POST","/sources",14447,0,29,42,2,6704,610,43.65,0.00,29,37,43,47,60,72,89,130,6600,6700,6700,6700
"None","Aggregated",44506,4,31,45,2,8140,227,134.46,0.01,31,40,47,52,69,88,120,150,4100,7100,8100,8100
